User ID,Timestamp,Age,Gender,Location,Languages Spoken,Class 10 Percentage,Class 12 Percentage,Class 12 Stream,Graduate Major,Graduate CGPA,PG Major,PG CGPA,Highest Education,Academic Consistency,Technical Skills,Tech Skill Proficiency,Soft Skills,Soft Skill Proficiency,Skill Embedding,Courses Completed,Avg Course Difficulty,Total Hours Learning,Course Keywords,Project Count,Avg Project Complexity,Project Keywords,Experience Months,Experience Types,Job Level,Work Keywords,Interest STEM,Interest Business,Interest Arts,Interest Design,Interest Medical,Interest Social Science,Career Preference,Work Preference,Preferred Industries,Preferred Roles,Conscientiousness,Extraversion,Openness,Agreeableness,Emotional Stability,Current Status,Target Job Role
2ca88c4f-dfe5-4207-a004-e5a902c5f0e7,2025-01-20 06:18:52.887014,25,Male,Lucknow,"English, Telugu, Punjabi",85.27,64.09,Arts,BBA,7.71,MCA,8.05,MSc,0.53,"React, Node.js",0.8,"Creativity, Adaptability",5.5,auto,1,4,315,Course list,6,4,Project description,15,"Freelance, Part-time",Entry Level,Work detail,0.6,0.5,0.5,0.1,0.5,0.0,Business,Hybrid,"Manufacturing, E-commerce, Retail",Software Engineer,5,1,1,3,2,Student,Software Engineer
2382edc6-39f2-409f-a154-257331feed33,2025-11-13 06:18:52.887187,21,Female,Lucknow,"Punjabi, Gujarati, Malayalam, English",85.64,56.85,Commerce,BCom,7.28,None,0.0,BTech,0.99,"AWS, Docker",0.9,"Communication, Teamwork",7.2,auto,19,1,356,Course list,8,3,Project description,19,"Internship, Full-time",Entry Level,Work detail,0.5,0.3,1.0,0.7,0.2,0.9,Business,"Remote, Hybrid","E-commerce, Manufacturing, Healthcare, Finance",Software Engineer,5,4,3,2,4,Student,Software Engineer
a65b87bb-1b29-42df-9542-1140e131b94f,2025-11-10 06:18:52.887294,18,Male,Jaipur,"Tamil, Kannada, Punjabi",61.22,74.91,Science,BCA,8.39,MBA,8.79,BA,0.88,"TensorFlow, PyTorch",0.7,"Creativity, Adaptability",6.2,auto,30,1,364,Course list,3,1,Project description,22,"Full-time, Internship",Entry Level,Work detail,0.3,0.1,0.2,0.3,0.8,0.5,Creative,Hybrid,"Technology, Consulting, Retail",AI Engineer,4,3,5,3,1,Student,AI Engineer
b0c2edb4-0b17-4d02-96fd-ded977e7b9df,2025-05-26 06:18:52.887379,45,Other,Chennai,"Telugu, Gujarati, Bengali",69.09,77.7,Commerce,BBA,9.06,MTech,7.36,MSc,0.64,"Python, JavaScript",0.5,"Leadership, Problem Solving",6.8,auto,26,1,173,Course list,12,3,Project description,28,Part-time,Mid Level,Work detail,0.7,1.0,0.1,0.8,0.5,0.8,Other,Flexible,Manufacturing,Software Engineer,3,5,3,1,3,Working Professional,Software Engineer
38d0bd2f-4722-472a-af2e-f2a9773d547f,2025-07-25 06:18:52.887454,43,Other,Hyderabad,Malayalam,68.76,83.8,Commerce,BBA,8.47,MSc,6.82,BSc,0.97,"React, Node.js",1.0,"Creativity, Adaptability",8.3,auto,13,3,146,Course list,11,2,Project description,241,"Internship, Freelance",Senior Level,Work detail,0.6,0.6,0.0,0.3,0.2,0.1,Other,"Flexible, Office",Manufacturing,Data Analyst,1,3,3,1,2,Working Professional,Data Analyst
c95ed452-6b2f-4bdb-8770-f93f063859f0,2025-05-12 06:18:52.887541,20,Other,Pune,Kannada,82.38,57.26,Science,BSc Math,7.14,MBA,6.23,BCA,0.58,"React, Node.js",0.6,"Communication, Teamwork",9.0,auto,13,1,201,Course list,6,3,Project description,15,Full-time,Entry Level,Work detail,1.0,0.1,0.9,0.9,0.6,0.1,Other,"Flexible, Remote",Consulting,Software Engineer,5,4,2,4,2,Student,Software Engineer
2aadb1d2-1780-4fb4-b0ae-b5e282fff0b5,2025-01-29 06:18:52.887653,33,Male,Ahmedabad,Bengali,86.9,57.79,Commerce,BSc Physics,9.1,MTech,6.96,MCom,0.85,"Python, JavaScript",0.5,"Leadership, Problem Solving",5.4,auto,25,2,405,Course list,1,5,Project description,132,Internship,Senior Level,Work detail,0.1,0.7,0.6,0.4,0.1,0.7,Other,Office,"E-commerce, Retail, Finance, Healthcare",Backend Developer,4,2,2,3,1,Working Professional,Backend Developer
ac715404-9d7c-4383-a1e8-192b8b559c2b,2025-05-25 06:18:52.887748,25,Other,Patna,"Punjabi, Malayalam",87.68,65.47,Arts,BSc Math,7.26,MTech,6.29,BA,0.68,"AWS, Docker",0.4,"Leadership, Problem Solving",5.5,auto,10,1,172,Course list,7,3,Project description,11,"Full-time, Internship",Entry Level,Work detail,0.9,0.8,0.1,0.8,0.8,0.3,Technical,"Remote, Flexible","Finance, Healthcare",Designer,3,3,4,2,3,Student,Designer
d54d38d1-800a-431f-9756-1f59fb2ab559,2025-06-06 06:18:52.887832,34,Female,Kochi,"Hindi, Tamil, Malayalam",74.84,70.39,Commerce,BTech CSE,9.28,MTech,6.12,Diploma,0.93,"TensorFlow, PyTorch",0.9,"Leadership, Problem Solving",7.2,auto,29,4,231,Course list,10,5,Project description,103,"Full-time, Internship",Senior Level,Work detail,0.6,0.9,0.3,0.8,0.2,0.7,Creative,"Hybrid, Office","E-commerce, Finance, Technology, Manufacturing",AI Engineer,1,4,2,4,1,Working Professional,AI Engineer
dec1d693-8222-4a0b-9525-ba7e424bd8ae,2025-05-31 06:18:52.887924,37,Female,Chennai,Bengali,73.89,62.97,Science,BSc Physics,8.6,MBA,6.52,MSc,0.48,"SQL, MongoDB",0.6,"Communication, Teamwork",7.9,auto,15,3,109,Course list,5,1,Project description,31,"Freelance, Internship",Mid Level,Work detail,0.6,0.6,1.0,0.1,0.9,0.5,Technical,Flexible,"Healthcare, Consulting, Technology, Finance",Project Manager,3,4,1,2,4,Working Professional,Project Manager
