User ID,Timestamp,Age,Gender,Location,Class 10 Percentage,Class 12 Percentage,Class 12 Stream,Graduate Major,Graduate CGPA,PG Major,PG CGPA,Highest Education,Academic Consistency,Technical Skills,Tech Skill Proficiency,Soft Skills,Soft Skill Proficiency,Courses Completed,Avg Course Difficulty,Total Hours Learning,Course Keywords,Project Count,Avg Project Complexity,Experience Months,Experience Types,Job Level,Work Keywords,Interest STEM,Interest Business,Interest Arts,Interest Design,Interest Medical,Interest Social Science,Career Preference,Work Preference,Preferred Industries,Conscientiousness,Extraversion,Openness,Agreeableness,Emotional Stability,Current Status,Target Job Role
2ca88c4f-dfe5-4207-a004-e5a902c5f0e7,18:52.9,25,Male,Lucknow,85.27,64.09,Arts,BBA,7.71,MCA,8.05,MCA,0.53,"Express.js, Git, Java, Node.js, Python, SQL",0.8,"Problem Solving, Communication, Teamwork",5.5,13,4.0,421,"Full Stack Web Development, JavaScript Essentials, Full Stack Web Development, Full Stack Web Development",6,4.0,15,"Freelance, Part-time",Entry Level,Work detail,0.6,0.5,0.5,0.1,0.5,0.0,Business,Hybrid,Technology,5,1,1,3,2,Student,Software Engineer
2382edc6-39f2-409f-a154-257331feed33,18:52.9,21,Female,Lucknow,85.64,56.85,Commerce,BCom,7.28,,0.0,BCom,0.99,"Express.js, Git, Java, Node.js, Python, SQL",0.9,"Teamwork, Problem Solving, Communication",7.2,2,1.0,71,"Full Stack Web Development, Java Beginner Bootcamp, Spring Boot Mastery, Java Beginner Bootcamp, Docker for Developers",8,3.0,19,"Internship, Full-time",Entry Level,Work detail,0.5,0.3,1.0,0.7,0.2,0.9,Business,"Remote, Hybrid",Technology,5,4,3,2,4,Student,Software Engineer
a65b87bb-1b29-42df-9542-1140e131b94f,18:52.9,18,Male,Jaipur,61.22,74.91,Science,BCA,8.39,MBA,8.79,MBA,0.88,"Deep Learning, Machine Learning, NumPy, PyTorch, Python, TensorFlow",0.7,"Critical Thinking, Research Skills, Analytical Thinking",6.2,14,1.0,625,"Mathematics for Machine Learning, Machine Learning A-Z, Python Zero to Hero, Data Engineering with Python",3,1.0,22,"Full-time, Internship",Entry Level,Work detail,0.3,0.1,0.2,0.3,0.8,0.5,Creative,Hybrid,"AI & Machine Learning, Technology",4,3,5,3,1,Student,AI Engineer
b0c2edb4-0b17-4d02-96fd-ded977e7b9df,18:52.9,45,Other,Chennai,69.09,77.7,Commerce,BBA,9.06,MTech,7.36,MTech,0.64,"Express.js, Git, Java, Node.js, Python, SQL",0.5,"Problem Solving, Teamwork, Communication",6.8,7,1.0,389,"Advanced Java Programming, Docker for Developers, Full Stack Web Development",12,3.0,28,Part-time,Mid Level,Work detail,0.7,1.0,0.1,0.8,0.5,0.8,Other,Flexible,Technology,3,5,3,1,3,Working Professional,Software Engineer
38d0bd2f-4722-472a-af2e-f2a9773d547f,18:52.9,43,Other,Hyderabad,68.76,83.8,Commerce,BBA,8.47,MSc,6.82,MSc,0.97,"Data Analysis, NumPy, Pandas, Python, SQL, Tableau",1.0,"Critical Thinking, Attention to Detail, Business Communication",8.3,13,3.0,529,"NoSQL Fundamentals, NoSQL Fundamentals, Power BI Dashboard Design",11,2.0,241,"Internship, Freelance",Senior Level,Work detail,0.6,0.6,0.0,0.3,0.2,0.1,Other,"Flexible, Office","E-commerce, Technology, FinTech",1,3,3,1,2,Working Professional,Data Analyst
c95ed452-6b2f-4bdb-8770-f93f063859f0,18:52.9,20,Other,Pune,82.38,57.26,Science,BSc Math,7.14,MBA,6.23,MBA,0.58,"Express.js, Git, Java, Node.js, Python, SQL",0.6,"Communication, Teamwork, Problem Solving",9.0,2,1.0,112,"Java Beginner Bootcamp, Full Stack Web Development, JavaScript Essentials, Spring Boot Mastery",6,3.0,15,Full-time,Entry Level,Work detail,1.0,0.1,0.9,0.9,0.6,0.1,Other,"Flexible, Remote",Technology,5,4,2,4,2,Student,Software Engineer
2aadb1d2-1780-4fb4-b0ae-b5e282fff0b5,18:52.9,33,Male,Ahmedabad,86.9,57.79,Commerce,BSc Physics,9.1,MTech,6.96,MTech,0.85,"Express.js, Git, Java, Node.js, Python, SQL",0.5,"Teamwork, Problem Solving, Communication",5.4,11,2.0,482,"C Programming Basics, C Programming Basics, Advanced Java Programming, C Programming Basics, Advanced Java Programming",1,5.0,132,Internship,Senior Level,Work detail,0.1,0.7,0.6,0.4,0.1,0.7,Other,Office,Technology,4,2,2,3,1,Working Professional,Backend Developer
ac715404-9d7c-4383-a1e8-192b8b559c2b,18:52.9,25,Other,Patna,87.68,65.47,Arts,BSc Math,7.26,MTech,6.29,MTech,0.68,"Figma, UI/UX Design",0.4,"Communication, Teamwork, Problem Solving",5.5,12,1.0,513,"Advanced Java Programming, Advanced Java Programming, Advanced Java Programming, C Programming Basics, C Programming Basics",7,3.0,11,"Full-time, Internship",Entry Level,Work detail,0.9,0.8,0.1,0.8,0.8,0.3,Technical,"Remote, Flexible",Technology,3,3,4,2,3,Student,UX Designer
d54d38d1-800a-431f-9756-1f59fb2ab559,18:52.9,34,Female,Kochi,74.84,70.39,Commerce,BTech CSE,9.28,MTech,6.12,MTech,0.93,"Deep Learning, Machine Learning, NumPy, PyTorch, Python, TensorFlow",0.9,"Critical Thinking, Analytical Thinking, Research Skills",7.2,12,4.0,439,"Python Zero to Hero, Python for Data Science, Python for Data Science, Deep Learning Fundamentals, Python Zero to Hero, Python for Data Science",10,5.0,103,"Full-time, Internship",Senior Level,Work detail,0.6,0.9,0.3,0.8,0.2,0.7,Creative,"Hybrid, Office","AI & Machine Learning, Technology",1,4,2,4,1,Working Professional,AI Engineer
dec1d693-8222-4a0b-9525-ba7e424bd8ae,18:52.9,37,Female,Chennai,73.89,62.97,Science,BSc Physics,8.6,MBA,6.52,MBA,0.48,"Analysis, Excel, Research Methods",0.6,"Teamwork, Problem Solving, Communication",7.9,7,3.0,370,"C Programming Basics, C Programming Basics, C Programming Basics, Advanced Java Programming, Advanced Java Programming",5,1.0,31,"Freelance, Internship",Mid Level,Work detail,0.6,0.6,1.0,0.1,0.9,0.5,Technical,Flexible,Technology,3,4,1,2,4,Working Professional,Project Manager
