User ID,Timestamp,Age,Gender,Location,Class 10 Percentage,Class 12 Percentage,Class 12 Stream,Graduate Major,Graduate CGPA,PG Major,PG CGPA,Highest Education,Academic Consistency,Technical Skills,Tech Skill Proficiency,Soft Skills,Soft Skill Proficiency,Courses Completed,Avg Course Difficulty,Total Hours Learning,Course Keywords,Project Count,Avg Project Complexity,Experience Months,Experience Types,Job Level,Work Keywords,Interest STEM,Interest Business,Interest Arts,Interest Design,Interest Medical,Interest Social Science,Career Preference,Work Preference,Preferred Industries,Conscientiousness,Extraversion,Openness,Agreeableness,Emotional Stability,Current Status,Target Job Role
UID_10001,04:49:15,24,Female,Delhi,86.86,62.34,Science,BCA,8.9,MBA,5.97,Graduate,0.72,"node, python, rest api, express, docker, jwt",0.64,"adaptability, communication, creativity, leadership",0.78,25,3.8,180,"learning, projects, skill development",6,2.17,23,"backend internship, api development",Entry Level,"work experience, tasks, responsibilities",0.83,0.21,0.18,0.18,0.3,0.52,Business,Office,Marketing,4,1,1,3,3,Working Professional,Backend Developer
UID_10002,04:49:15,27,Male,Chennai,56.87,93.95,Commerce,BCA,6.16,None,0.91,Post Graduate,0.81,"docker, mysql, express, python",0.75,"adaptability, problem solving, leadership, teamwork",0.99,29,2.14,70,"learning, projects, skill development",9,2.2,3,"backend internship, api development",Entry Level,"work experience, tasks, responsibilities",0.94,0.56,0.39,0.02,0.23,0.24,Management,Hybrid,IT Services,4,3,4,1,4,Working Professional,Backend Developer
UID_10003,04:49:15,32,Male,Mumbai,61.93,70.64,Science,BA,5.91,MBA,7.55,Post Graduate,0.71,"docker, mysql, python, mongodb",0.68,"creativity, leadership, adaptability, problem solving",0.83,22,4.33,211,"learning, projects, skill development",4,3.79,14,"backend internship, api development",Entry Level,"work experience, tasks, responsibilities",0.09,0.2,0.05,0.33,0.39,0.27,Business,Remote,Software,1,4,2,1,4,Working Professional,Backend Developer
UID_10004,04:49:15,30,Female,Pune,60.64,87.09,Commerce,BA,5.37,PGDCA,9.87,Graduate,0.89,"rest api, node, express, docker, jwt",0.68,"leadership, communication, teamwork, adaptability, creativity, problem solving",0.6,15,2.6,441,"learning, projects, skill development",3,4.37,4,"backend internship, api development",Mid Level,"work experience, tasks, responsibilities",0.93,0.65,0.91,0.85,0.45,0.1,Technical,Remote,Technology,3,3,2,4,1,Working Professional,Backend Developer
UID_10005,04:49:15,20,Female,Kolkata,78.65,65.99,Commerce,BTech CSE,7.81,MBA,3.83,Post Graduate,0.99,"mysql, python, node, docker, express",0.94,"adaptability, problem solving, creativity, leadership",0.89,27,4.31,442,"learning, projects, skill development",3,2.09,31,"backend internship, api development",Mid Level,"work experience, tasks, responsibilities",0.7,0.14,0.6,0.54,0.2,0.94,Creative,Hybrid,Finance,3,3,3,2,4,Student,Backend Developer
UID_10006,04:49:15,19,Female,Jaipur,79.97,66.83,Arts,BSc IT,5.53,PGDCA,4.57,Graduate,0.61,"docker, python, jwt, rest api, node, express",0.77,"adaptability, problem solving, communication, teamwork",0.95,27,4.69,280,"learning, projects, skill development",1,2.82,26,"backend internship, api development",Entry Level,"work experience, tasks, responsibilities",0.43,0.82,0.86,0.01,0.51,0.42,Management,Office,Design,1,1,3,2,4,Student,Backend Developer
UID_10007,04:49:15,41,Male,Hyderabad,92.72,67.93,Science,BCom,7.59,PGDCA,7.03,Graduate,0.68,"jwt, node, mongodb, python, express",0.99,"teamwork, creativity, communication, leadership, adaptability, problem solving",0.98,11,3.49,162,"learning, projects, skill development",5,2.85,16,"backend internship, api development",Mid Level,"work experience, tasks, responsibilities",0.27,0.98,0.41,0.03,0.35,0.63,Creative,Remote,Technology,2,2,1,4,2,Working Professional,Backend Developer
UID_10008,04:49:15,23,Male,Kolkata,64.68,81.89,Arts,BBA,8.81,PGDCA,2.38,Graduate,0.86,"mongodb, python, node, mysql, jwt",0.75,"adaptability, problem solving, communication, leadership",0.85,10,3.2,560,"learning, projects, skill development",1,2.45,5,"backend internship, api development",Mid Level,"work experience, tasks, responsibilities",0.7,0.86,0.33,0.22,0.71,0.81,Creative,Remote,IT Services,4,4,3,4,1,Student,Backend Developer
UID_10009,04:49:15,18,Male,Lucknow,70.9,75.71,Science,BCom,9.19,MBA,6.76,Graduate,0.87,"mysql, mongodb, rest api, express, jwt, docker",0.68,"communication, teamwork, creativity, adaptability, problem solving",0.82,14,2.77,193,"learning, projects, skill development",9,3.55,1,"backend internship, api development",Entry Level,"work experience, tasks, responsibilities",1.0,0.97,0.56,0.88,0.19,0.28,Technical,Remote,Technology,3,4,4,3,4,Student,Backend Developer
UID_10010,04:49:15,41,Female,Pune,71.18,90.51,Science,BCA,9.25,None,9.36,Post Graduate,0.89,"node, mysql, docker, express, mongodb",0.87,"creativity, teamwork, problem solving, communication",0.83,20,2.3,148,"learning, projects, skill development",9,2.02,17,"backend internship, api development",Mid Level,"work experience, tasks, responsibilities",0.49,0.45,0.99,0.18,0.02,0.49,Creative,Hybrid,Software,4,4,4,4,4,Student,Backend Developer
